id,mfr,mfrDivision,carLine,carClass,carClassStr,cityFE,hwyFE,combFE,guzzlerStr,fuelStr,fuelStr2,fuelCost,displ,transStr,transStr2,gears,cyl,airAsp,driveStr,driveStr2,driveStr3,driveFct3
20889,Aston Martin Lagonda Ltd,Aston Martin,Rapide S,3,Subcompact Cars,14,21,17,G,GP,Gasoline (Premium Unleaded Recommended),2450,6,Auto(S8),SA,8,12,Naturally Aspirated,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20887,Aston Martin Lagonda Ltd,Aston Martin,V12 Vantage S,1,Two Seaters,12,18,14,G,GP,Gasoline (Premium Unleaded Recommended),3000,6,Auto(AM7),AM,7,12,Naturally Aspirated,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20913,Aston Martin Lagonda Ltd,Aston Martin,V12 Vantage S,1,Two Seaters,10,16,12,G,GP,Gasoline (Premium Unleaded Recommended),3500,6,Manual(M7),M,7,12,Naturally Aspirated,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20915,Aston Martin Lagonda Ltd,Aston Martin,"Vanquish, S and Zagato",2,Minicompact Cars,13,21,16,G,GP,Gasoline (Premium Unleaded Recommended),2600,6,Auto(S8),SA,8,12,Naturally Aspirated,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20602,BMW,BMW,230i Convertible,3,Subcompact Cars,23,34,27,,GP,Gasoline (Premium Unleaded Recommended),1550,2,Auto(S8),SA,8,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
21288,BMW,BMW,230i Coupe,3,Subcompact Cars,24,35,28,,GP,Gasoline (Premium Unleaded Recommended),1500,2,Auto(S8),SA,8,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20607,BMW,BMW,230i Coupe,3,Subcompact Cars,21,32,25,,GP,Gasoline (Premium Unleaded Recommended),1700,2,Manual(M6),M,6,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20573,BMW,BMW,230i xDrive Convertible,3,Subcompact Cars,23,33,26,,GP,Gasoline (Premium Unleaded Recommended),1600,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
20578,BMW,BMW,230i xDrive Coupe,3,Subcompact Cars,24,33,27,,GP,Gasoline (Premium Unleaded Recommended),1550,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
20413,BMW,BMW,320i,4,Compact Cars,23,35,28,,GP,Gasoline (Premium Unleaded Recommended),1500,2,Auto(S8),SA,8,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20567,BMW,BMW,320i,4,Compact Cars,23,35,27,,GP,Gasoline (Premium Unleaded Recommended),1550,2,Manual(M6),M,6,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20568,BMW,BMW,320i xDrive,4,Compact Cars,23,34,27,,GP,Gasoline (Premium Unleaded Recommended),1550,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
21232,BMW,BMW,328d,4,Compact Cars,31,43,36,,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",1150,2,Auto(S8),SA,8,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
21140,BMW,BMW,328d xDrive,4,Compact Cars,30,40,34,,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",1200,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
21141,BMW,BMW,328d xDrive Sports Wagon,7,Small Station Wagons,30,40,34,,DU,"Diesel, ultra low sulfur (15 ppm, maximum)",1200,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
20601,BMW,BMW,330i,4,Compact Cars,23,34,27,,GP,Gasoline (Premium Unleaded Recommended),1550,2,Auto(S8),SA,8,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20606,BMW,BMW,330i,4,Compact Cars,21,32,25,,GP,Gasoline (Premium Unleaded Recommended),1700,2,Manual(M6),M,6,4,Turbocharged,R,"2-Wheel Drive, Rear","TWD, Rear","TWD, Rear"
20572,BMW,BMW,330i xDrive,4,Compact Cars,23,33,26,,GP,Gasoline (Premium Unleaded Recommended),1600,2,Auto(S8),SA,8,4,Turbocharged,A,All Wheel Drive,AWD,AWD
